Date,open,high,low,code,close,pctChg,volume,amount,turn
1994-08-25,704.4700,724.1500,704.4700,sh.000001,722.23,2.340899,402222100,3393026560.0000,0.042359
1994-08-26,728.2600,728.7600,707.4100,sh.000001,707.41,-2.051979,494975600,4132017408.0000,0.052127
1994-08-29,716.8700,717.9500,706.5200,sh.000001,710.68,0.462252,375391700,3713521664.0000,0.039486
1994-08-30,715.4500,763.0700,715.4500,sh.000001,756.2,6.405136,811989500,7812270592.0000,0.085115
1994-08-31,771.3300,787.2200,761.9300,sh.000001,785.33,3.852156,1073481900,9438548992.0000,0.112525
1994-09-01,785.6100,813.4200,785.5600,sh.000001,790.19,0.618846,863573600,7930486272.0000,0.090522
1994-09-02,796.6900,830.2000,796.6900,sh.000001,830.18,5.060807,668555700,6524260352.0000,0.070080
1994-09-05,871.1600,940.7600,868.1500,sh.000001,940.61,13.301930,1838426400,14907975680.0000,0.192708
1994-09-06,973.2800,1008.0100,936.8100,sh.000001,1004.92,6.837052,1431395300,15753656320.0000,0.146983
1994-09-07,977.3000,1016.3800,919.8400,sh.000001,931.57,-7.299087,1186730700,12793026560.0000,0.121859
1994-09-08,967.9000,998.5500,937.2600,sh.000001,972.84,4.430158,792154400,9731151872.0000,0.081342
1994-09-09,982.4300,997.6700,950.8100,sh.000001,962.52,-1.060812,883381800,9218570240.0000,0.090710
1994-09-12,996.6800,1023.3000,981.8100,sh.000001,1019.97,5.968702,808749500,9068938240.0000,0.082751
1994-09-13,1036.8400,1052.9400,1025.1000,sh.000001,1033.47,1.323568,1020449900,11398095872.0000,0.103906
1994-09-14,1040.9500,1041.4300,970.6900,sh.000001,974.86,-5.671184,806262000,7864359424.0000,0.082097
1994-09-15,985.3300,991.1200,930.6200,sh.000001,972.54,-0.237984,464150400,5004640256.0000,0.047261
1994-09-16,983.7900,992.3900,953.9900,sh.000001,978.99,0.663213,523797400,5216457216.0000,0.053335
1994-09-19,944.2500,970.0600,925.8300,sh.000001,927.62,-5.247244,414198200,3785485056.0000,0.042141
1994-09-20,922.8000,933.2800,897.3800,sh.000001,914.39,-1.426229,332653800,3181837568.0000,0.033845
1994-09-21,928.7500,969.0300,928.7500,sh.000001,969.03,5.975570,353678400,3698107904.0000,0.035984
1994-09-22,974.2100,974.2500,913.9400,sh.000001,918.44,-5.220687,456040000,4723348992.0000,0.046338
1994-09-23,908.7500,912.9500,865.9300,sh.000001,867.65,-5.530027,416642400,4052413184.0000,0.042335
1994-09-26,856.1700,884.2700,844.3200,sh.000001,880.6,1.492532,276586500,2746748928.0000,0.028091
1994-09-27,880.6900,886.9600,865.2400,sh.000001,870.15,-1.186685,236606000,2479185920.0000,0.024013
1994-09-28,881.1400,913.2900,881.9300,sh.000001,912.38,4.853184,371989500,3585119232.0000,0.037525
1994-09-29,921.8100,922.2900,823.0500,sh.000001,839.37,-8.002150,362412800,3758015232.0000,0.036559
1994-09-30,811.8300,835.5000,789.6400,sh.000001,791.15,-5.744781,366876800,3295479296.0000,0.037009
1994-10-05,770.9000,775.8500,681.8700,sh.000001,706.42,-10.709730,326109700,2810026496.0000,0.032753
1994-10-06,731.6500,736.2900,659.8900,sh.000001,660.5,-6.500380,283702900,2302783232.0000,0.028494
1994-10-07,638.3200,759.8000,546.7900,sh.000001,738.03,11.738080,634306800,5041047040.0000,0.063689
1994-10-10,678.0200,727.4700,665.7400,sh.000001,698.93,-5.297893,521678500,4840296448.0000,0.052356
1994-10-11,712.0300,721.6600,700.0200,sh.000001,705.07,0.878488,228405500,1991256832.0000,0.022819
1994-10-12,712.3900,725.6700,706.5600,sh.000001,711.01,0.842470,213653200,1775088000.0000,0.021345
1994-10-13,706.7600,706.7600,634.6700,sh.000001,635.38,-10.636980,363897600,2532816640.0000,0.036356
1994-10-14,608.0700,666.9200,593.0500,sh.000001,663.75,4.465044,327002600,2721504512.0000,0.032670
1994-10-17,617.9000,633.1600,615.5000,sh.000001,616.34,-7.142745,135071000,1028189568.0000,0.013455
1994-10-18,625.4900,630.1600,619.1100,sh.000001,624.52,1.327188,89863900,675016896.0000,0.008952
